original_text,text,label
Enna da ellam avan seyal  Mari iruku,enna da ellam avan seyal mari iruku,Negative
This movei is just like  ellam avan seyal,this movei is just like ellam avan seyal,Negative
Padam vanthathum 13k dislike pottavaga yellam yea da dislike  pannom nu feel pannanum,padam vanthathum 13k dislike pottavaga yellam yea da dislike pannom nu feel pannanum,Positive
Neraya neraya neraya... ... V era level...thala,neraya neraya neraya... ... v era level...thala,Positive
wow thavala sema mass....padam oru pundaikum aagathu,wow thavala sema mass....padam oru pundaikum aagathu,Positive
Andha 19 k unlike panavangaluku kolandha porakathu,andha 19 k unlike panavangaluku kolandha porakathu,Negative
Yaarellam frst like pottutu video paaka start paneenga....hit like,yaarellam frst like pottutu video paaka start paneenga....hit like,Positive
Ethana padam vanthanu SALT AND PEPPER Mattum than..THÃLÃ🤩🤩,ethana padam vanthanu salt and pepper mattum than..thÃlÃ🤩🤩,Positive
Thala mass  Hvy sprt kerala Surya anna fans,thala mass hvy sprt kerala surya anna fans,Positive
Elam avan jayal movie  remake pa,elam avan jayal movie remake pa,Negative
Dhayavasenju indha padathula mass ila mayiru ila nu yevanum saavadikadheenga.. let him do such roles.. it's healthy!,dhayavasenju indha padathula mass ila mayiru ila nu yevanum saavadikadheenga.. let him do such roles.. it's healthy!,Positive
vera lvl.... Thala sammaaaaaaaaaaaaa......Bgm sammaya iruku,vera lvl.... thala sammaaaaaaaaaaaaa......bgm sammaya iruku,Positive
Romba nal aparam ajith ah normal ah pakaran siva oda build up illama tharamana trailer.....,romba nal aparam ajith ah normal ah pakaran siva oda build up illama tharamana trailer.....,Positive
Nirav shah ....  Love u ma dear.....,nirav shah .... love u ma dear.....,Positive
Padam hit nu nenaikkuravange like podunge ..... Naan pottutten..,padam hit nu nenaikkuravange like podunge ..... naan pottutten..,Positive
Thevdiya pasangala intha trailer ku enna da kora evlo dislike uh punda mavanungalae,thevdiya pasangala intha trailer ku enna da kora evlo dislike uh punda mavanungalae,Negative
Dislikes podura thevidiya kandara oooooooli pasangala,dislikes podura thevidiya kandara oooooooli pasangala,Negative
Neenga viswasam ah irukkurathukku mathavangala yan asinga paduthuringa....#Thala...Vera level.....,neenga viswasam ah irukkurathukku mathavangala yan asinga paduthuringa.... thala...vera level.....,Positive
Superb thala... By thalapathy fan... Naraya naraya naraya... Vera vera vera 2um sink agudhu....,superb thala... by thalapathy fan... naraya naraya naraya... vera vera vera 2um sink agudhu....,Positive
Last dialogue  epo ellam may epd than jalra taturaga,last dialogue epo ellam may epd than jalra taturaga,Positive
More than 20 times paathavanga mattum like pannunga..,more than 20 times paathavanga mattum like pannunga..,Positive
Thala and yuvan bgm Epa dae,thala and yuvan bgm epa dae,Positive
Konjam purithu konjam puriyala.. But gud,konjam purithu konjam puriyala.. but gud,Positive
Rangaraj pandey dummy piece   Thala munnadi,rangaraj pandey dummy piece thala munnadi,Positive
ennada setha ponam mari argue pandran,ennada setha ponam mari argue pandran,Negative
Gommala Thala da. Verithanam,gommala thala da. verithanam,Negative
Oru scene vachalum valuvaa irukuu trailer thala,oru scene vachalum valuvaa irukuu trailer thala,Positive
Wowww thala Ajith Kumar is awesome paaaaaaaaa,wowww thala ajith kumar is awesome paaaaaaaaa,Positive
Neraya Neraya Neraya like varanum  #thala rasiganda,neraya neraya neraya like varanum thala rasiganda,Positive
Final touch thala mass ah soli irukapala  ketukonga da inimel aachum olunga irunga.... Ozm thrilling Trailer,final touch thala mass ah soli irukapala ketukonga da inimel aachum olunga irunga.... ozm thrilling trailer,Positive
after longtime i am watch my dear thala(apudi ellam nadakathu nadakka vittta maten...),after longtime i am watch my dear thala(apudi ellam nadakathu nadakka vittta maten...),Positive
Acting to nxt level of thala ...U1 maranabangam..,acting to nxt level of thala ...u1 maranabangam..,Positive
thala thanta thalaiya minja evanta,thala thanta thalaiya minja evanta,Positive
Normal ah than iruku over ah laam illa expect panra aalavuku onum illa,normal ah than iruku over ah laam illa expect panra aalavuku onum illa,Mixed_feelings
Itha trailer Ku dislike pannuraven girls ku against ta irupan pola.... You mom also girl..,itha trailer ku dislike pannuraven girls ku against ta irupan pola.... you mom also girl..,Positive
Thala   verithanam  intha padam rapists ku marana serupadi kudukum,thala verithanam intha padam rapists ku marana serupadi kudukum,Positive
Thala fans for ravathanallur uthiramerur kanchipuram,thala fans for ravathanallur uthiramerur kanchipuram,Positive
Aiyo enaku ipave thalaya padathula pakanumnu eruku,aiyo enaku ipave thalaya padathula pakanumnu eruku,Positive
